Method              Description
anchor()            Creates an HTML anchor that is used as a hypertext target.
big()               Creates a string to be displayed in a big font as if it were in a <big> tag.
blink()             Creates a string to blink as if it were in a <blink> tag.
bold()              Creates a string to be displayed as bold as if it were in a <b> tag.
fixed()             Causes a string to be displayed in fixed-pitch font as if it were in a <tt> tag
fontcolor()         Causes a string to be displayed in the specified color as if it were in a <font color="color"> tag.
fontsize()          Causes a string to be displayed in the specified font size as if it were in a <font size="size"> tag.
italics()           Causes a string to be italic, as if it were in an <i> tag.
link()              Creates an HTML hypertext link that requests another URL.
small()             Causes a string to be displayed in a small font, as if it were in a <small> tag.
strike()            Causes a string to be displayed as struck-out text, as if it were in a <strike> tag.
sub()               Causes a string to be displayed as a subscript, as if it were in a <sub> tag
sup()               Causes a string to be displayed as a superscript, as if it were in a <sup> ta
